What degree did you receive at GSAPP?,What is your annual salary?,Photoshop,Illustrator,InDesign,After Effects,Lightroom,AutoCad,Rhino,Grasshopper,3dsMax,Maya,Revit,SketchUp,Excel,Word,PowerPoint,Processing,Python,ArcGIS,D3,CartoDB,MapBox,Dreamweaver,JavaScript,Catia,Ecotect
MS.RED,$100 or more,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,1,,1,,,,,,,,1,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$40 - $50,1,,,,1,,,,,,,1,1,1,1,,,1,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,1,1,1,1,,,,,,,,,,
MS.RED,$100 or more,1,1,1,,,1,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$60 - $70,,,,,,,,,,,,,1,1,,,,,,,,,,,
MS.RED,$100 or more,1,1,1,,,,,,,,,,1,1,,,,,,,,,,,
MS.RED,$70 - $80,1,1,1,,,,,,,,,,1,1,,,,,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,,1,1,1,,,1,,,,,,,
MS.RED,$70 - $80,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,1,1,1,,,1,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,1,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,
MS.RED,$80 - $90,1,,,,,1,,,,,1,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,,,,1,,,,,,,1,1,,,,,,,,,,,
MS.RED,$100 or more,1,1,1,,,1,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,Less than $30,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$70 - $80,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$90 - $100,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$70 - $80,,,,,,,,,,,,,1,1,1,,,1,,,,,,,
MS.RED,$80 - $90,1,1,1,,,1,1,1,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$80 - $90,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,,1,1,,,,,,,,,,,
MS.RED,$100 or more,,,1,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,,1,1,1,,,,,,,,1,,
MS.RED,Less than $30,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$80 - $90,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,,,,1,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,1,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$60 - $70,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,,1,1,1,,,,,,,,1,,
MS.RED,$100 or more,,1,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,,1,1,,,,,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,1,,,,,,,,,1,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,,1,1,,,,,,,,,,,
MS.RED,$90 - $100,1,,1,,,,,,,,,,1,1,1,,,,,,,,,,
MS.RED,$100 or more,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.UP,$60 - $70,,1,1,,,,,,,,,,1,1,1,,,1,1,1,,,1,,
MS.UP,Less than $30,1,,,,,1,,,,,,,1,1,1,,,1,,,,,,,
MS.UP,$50 - $60,,,,,,,,,,,,,1,1,,,,,,,,,,,
MS.UP,$50 - $60,,,1,,,,,,,,,,1,1,1,,,1,,,,,,,
MS.UP,$50 - $60,,1,1,,,1,,,,,,,1,1,1,,,1,,,,,,,
MS.UP,$60 - $70,1,1,1,,,,,,,,,,1,1,1,,,1,,,,,,,
MS.UP,$60 - $70,,,,,,,,,,,,,1,,,,,1,,,,,,,
MS.UP,$60 - $70,,,,,,,,,,,,,1,1,,,,1,,,,,,,
MS.UP,$40 - $50,1,1,1,,,1,,,,,,,1,1,,,,1,,,,,,,
MS.UP,$60 - $70,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.UP,$50 - $60,1,1,1,,,1,,,,,,1,1,1,1,,,1,,,,,,,
MS.UP,$50 - $60,1,1,,,,,,,,,,1,1,1,1,,,1,,,,,,,
MS.UP,$50 - $60,,1,1,,,,,,,,,,1,1,1,,,1,,,,,,,
MS.UP,$40 - $50,1,1,1,,,,,,,,,,1,1,,,,,,,,,,,
MS.UP,$90 - $100,1,1,1,,,,,,,,,,1,1,1,,,,,,,,,,
MS.UP,$50 - $60,1,1,1,,,,,,,,,,1,1,,,,1,,,,,,,
MS.UP,$50 - $60,,,1,,,,,,,,,,1,1,1,,,1,,,,,,,
MS.UP,$40 - $50,1,1,1,,,,,,,,,,1,1,1,,,1,,,,,,,
MS.UP,$40 - $50,,1,,,,,,,,,,1,1,1,1,,,1,,1,,,1,,
MS.UP,$60 - $70,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.UP,Less than $30,,,,,,,,,,,,,,,,,,,,,,,,,
MS.UP,$70 - $80,,1,,,,,,,,,,,1,1,1,,,1,,,,,,,
MS.UP,$50 - $60,,,1,,,,,,,,,,1,1,1,,,,,,,,,,
MS.UP,$60 - $70,1,,,,,1,,,,,,1,1,1,1,,,1,,,,,,,
MS.UP,$40 - $50,,,,,,,,,,,,,,,,,,,,,,,,,
MS.UP,Less than $30,,,,,,,,,,,,1,1,,1,,,1,,,,,,,
MS.UP,$60 - $70,,,,,,,,,,,,,1,1,,,,,,,,,,,
MS.UP,$50 - $60,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.UP,$30 - $40,1,1,1,,,1,,,,,,,1,1,1,,,1,,,,,,,
MS.UP,$40 - $50,,1,1,,,,,,,,,1,1,1,1,,,1,,,,,,,
MS.UP,$80 - $90,,,1,,,,,,,,,,1,1,1,,,,,,,,,,
MS.UP,$70 - $80,,1,1,,,,,,,,,1,1,1,1,,,1,,,,,,,
MS.UP,$50 - $60,1,1,1,,,,,,,,,1,1,1,1,,,1,,,,,,,
MS.UP,$50 - $60,,,1,,,,,,,,,,1,1,1,,,1,,,,,,,
MS.UP,$50 - $60,,1,1,,,,,,,,,1,1,1,1,,,1,,,,,,,
MS.UP,$100 or more,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.UP,$60 - $70,,1,1,,,,,,,,,,1,1,1,,,1,,,,,,,
MS.UP,$70 - $80,1,1,1,,,,,,,,,,1,1,1,,,1,,,,,,,
MS.UP,$50 - $60,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.UP,$50 - $60,,1,1,,,,,,,,,,1,1,1,,,1,,,,,,,
MS.UP,$60 - $70,1,1,1,,,,,,,,,,1,1,,,,,,,,,,,
MS.UP,$50 - $60,,1,,,,1,,,,,,,1,1,,,,1,,,,,,,
MS.UP,$80 - $90,,,,,,,,,,,,,1,1,,,,,,,,,,,
MS.UP,Less than $30,1,1,1,,,,,,,,,,1,1,1,,,1,,,,,1,,
MS.UP,$40 - $50,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.UP,Less than $30,1,1,1,1,,,,,,,,1,1,1,1,,1,,1,,,,,,
MS.UP,$30 - $40,,1,1,,,,,,,,,,1,1,1,,,,,,,,,,
MS.UP,$60 - $70,,1,1,,,,,,,,,,1,1,1,,1,1,1,1,,,1,,
MS.UP,Less than $30,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.UP,$30 - $40,1,,,,,,,,,,,1,1,1,1,,,1,,,,,,,
MS.UP,$40 - $50,1,1,1,,,1,,,,,,,1,1,1,,,1,,,,,,,
MS.UP,Less than $30,,,,,,,,,,,,,1,1,1,,,1,,,,,,,
MS.UP,$60 - $70,1,1,,,,1,,,,,,1,1,1,,,,1,,,,,,,
MS.UP,$50 - $60,,1,1,,,,,,,,,,1,1,,,,1,,1,1,,,,
MS.UP,Less than $30,1,1,1,,,1,1,,1,,1,1,1,1,1,,,,,,,,,,1
MS.UP,$60 - $70,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.UP,$70 - $80,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.UP,$60 - $70,,,,,,,,,,,,,1,1,1,,,1,,,,,,,
MS.UP,$50 - $60,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.UP,$100 or more,,,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.UP,$40 - $50,,1,1,,,,,,,,,,1,1,1,,,1,,,,,,,
MS.UP,$60 - $70,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,
MS.UP,$30 - $40,1,1,1,,,,,,,,,,1,1,1,,,,,,,,,,
MS.UP,$50 - $60,1,1,1,,,,,,,,,,1,1,1,,,1,,,,,,,
MS.UP,$30 - $40,1,1,1,,,,,,,,,,1,1,1,,,1,,,,,,,
MS.UP,$80 - $90,1,1,1,,,,,,,,,,1,1,1,,,,,,,,,,
MS.UP,$40 - $50,1,1,1,,,,,,,,,,1,1,1,,,1,,,,,,,
MS.UP,$50 - $60,1,1,1,,,,,,,,,,1,1,1,,1,1,,,,,,,
Other,$30 - $40,1,1,1,,,,,,,,,,1,1,,,,,,,,,,,
Other,$50 - $60,1,1,1,,,,,,,,,,1,1,,,,,,,,,,,
Other,$60 - $70,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,
Other,$60 - $70,1,1,1,1,,1,1,,1,,,1,1,1,1,,,,,,,,,,
Other,$60 - $70,1,1,1,,,1,,,,,,,1,1,,,,,,,,,,,
Other,$60 - $70,1,1,,,,,1,,1,,,,1,1,,,,,,,,,,,
Other,$50 - $60,1,1,1,1,,1,1,1,1,,1,,1,1,1,,,1,,,,,,,
Other,$50 - $60,1,1,1,,,,,,,,,,1,1,1,,,,,,,,,,
Other,$50 - $60,,,1,,,,,,,,,,1,1,,,,,,,,,,,
Other,$40 - $50,1,1,1,,,,,,,,,1,,,,,,,,,,,,,
Other,Less than $30,1,1,1,,,,,,,,,,1,1,,,,,,,,,,,
Other,Less than $30,,,,,,,,,,,,,1,1,1,,,,,,,,,,
Other,$80 - $90,,,,,,,,,,,,,1,1,,,,,,,,,,,
Other,$80 - $90,1,,1,,,1,,,,,,,1,1,1,,,,,,,,,,
Other,$80 - $90,1,1,1,1,,1,1,1,1,,,1,1,1,,,,1,,,,,,,1
Other,$60 - $70,1,1,1,1,,1,1,1,,,,,1,1,1,1,,1,1,1,1,,,,
Other,$40 - $50,1,1,1,,,,1,,,,,,,1,1,,,,,,,,,,
Other,Less than $30,1,1,1,1,,1,1,,,,,,1,,,,1,1,,,,,,,
Other,$60 - $70,1,1,1,1,,,1,1,1,1,,,1,1,,1,1,1,1,1,1,,1,,1
Other,$70 - $80,1,1,1,1,1,,1,1,,,1,,1,1,1,,,1,,,,,,,1
Other,$40 - $50,1,1,1,,,1,1,,1,,1,,1,,,,,,,,,,,,
Other,$40 - $50,1,1,1,,,1,,,,,1,,1,1,,,,,,,,,,,
Other,$50 - $60,,,,,,,,,,,,,1,1,1,,,,,,,,,,
Other,$30 - $40,1,1,1,,,,,,,,,,1,1,1,,,,,,,,,,
Other,$40 - $50,1,,1,,,,,,,,,1,1,1,1,,,,,,,,,,
Other,$100 or more,,,,,,1,,,,,,,1,1,1,,,,,,,,,,
Other,$60 - $70,1,1,1,1,,,1,,1,,,,1,1,1,,1,1,1,1,1,,1,,
Other,Less than $30,,,,,,1,1,,,,,,,1,,,,,,,,,,,
Other,$50 - $60,1,1,1,,,1,1,,1,,1,,1,1,,,,,,,,,,,
